	lexeme	ai1P	ai1S	ai2P	ai2S	ai3P	ai3S	fi1P	fi1S	fi2P	fi2S	fi3P	fi3S	ii1P	ii1S	ii2P	ii2S	ii3P	ii3S	inf	is1P	is1S	is2P	is2S	is3P	is3S	pI1P	pI2P	pI2S	pP	pc1P	pc1S	pc2P	pc2S	pc3P	pc3S	pi1P	pi1S	pi2P	pi2S	pi3P	pi3S	ppFP	ppFS	ppMP	ppMS	ps1P	ps1S	ps2P	ps2S	ps3P	ps3S	freqLexeme
635	bordurer																																									1.0	1.0										2.0
636	borner					1.0	7.0		5.0				2.0		1.0	1.0		4.0	8.0	23.0								12.0	5.0	4.0					1.0	1.0	2.0	15.0	8.0	7.0	6.0	29.0	8.0	75.0	34.0	180.0				1.0			440.0
637	bosseler																			6.0																				1.0			2.0	7.0	2.0	17.0							35.0
638	bosser		1.0				63.0	1.0	143.0	23.0	68.0	9.0	77.0	11.0	521.0	105.0	245.0	143.0	1084.0	8307.0							9.0	72.0	33.0	245.0		46.0	3.0	24.0	6.0	46.0	18.0	2841.0	634.0	1912.0	730.0	3795.0	1.0	4.0	3.0	2554.0				3.0		6.0	23786.0
639	bossuer																																									1.0				2.0							3.0
640	botter		1.0		1.0		2.0	3.0	174.0	1.0	13.0	10.0	87.0	2.0	32.0	7.0	7.0	8.0	46.0	3228.0							35.0	56.0	174.0	29.0		89.0		7.0	6.0	65.0	8.0	490.0	14.0	68.0	36.0	399.0	7.0	3.0	9.0	641.0		1.0		25.0			5784.0
641	boubouler																												93.0									5.0		9.0		41.0											148.0
642	boucaner																			1.0																						2.0			1.0	1.0							5.0
643	boucharder																			1.0																																	1.0
644	boucher	1.0				1.0	1.0	1.0	9.0	1.0	3.0	2.0	23.0		7.0	1.0	1.0	11.0	24.0	978.0							9.0	114.0	146.0	27.0		3.0			3.0	10.0		55.0	36.0	62.0	69.0	426.0	165.0	213.0	93.0	550.0							3045.0
645	bouchonner											1.0							8.0	12.0								2.0	5.0													34.0	1.0			16.0							79.0
646	boucler						1.0	6.0	29.0	8.0	6.0	16.0	48.0		10.0	10.0	2.0	5.0	22.0	1641.0							30.0	927.0	838.0	12.0		14.0	3.0	4.0	3.0	17.0	15.0	184.0	66.0	196.0	71.0	428.0	43.0	427.0	100.0	1018.0		1.0		1.0		3.0	6205.0
647	bouder						1.0		1.0		4.0	1.0	5.0		8.0	4.0	8.0	1.0	24.0	411.0							3.0	24.0	76.0	19.0		1.0		1.0	1.0		1.0	50.0	35.0	165.0	30.0	241.0	1.0	2.0		50.0							1168.0
648	boudiner																		1.0										2.0									5.0				7.0	1.0	8.0	10.0	8.0							42.0
649	bouffer						1.0		57.0	7.0	23.0	56.0	96.0		25.0	6.0	21.0	28.0	90.0	3588.0							13.0	113.0	223.0	68.0		50.0	2.0	8.0	10.0	45.0	4.0	258.0	59.0	225.0	309.0	888.0	23.0	83.0	68.0	1036.0						107.0	7590.0
650	bouffir																																										3.0	39.0	10.0	127.0							179.0
651	bouffonner																			3.0																				1.0		1.0				1.0							6.0
652	bouger					6.0	16.0	65.0	497.0	42.0	52.0	126.0	505.0	18.0	104.0		66.0	129.0	653.0	14447.0							269.0	13377.0	9045.0	141.0	1.0	69.0	9.0	13.0	14.0	55.0	100.0	953.0	878.0	1847.0	1392.0	12624.0	16.0	103.0	48.0	3239.0				17.0	1.0	3.0	60940.0
653	bougonner						1.0												2.0	10.0									2.0	2.0								3.0		3.0		4.0				2.0							29.0
654	bouillir	1.0					4.0	1.0				1.0	12.0		10.0			5.0	29.0	1194.0					2.0		2.0		42.0	17.0	1.0	1.0		1.0				57.0		9.0	11.0	699.0	8.0	31.0	21.0	87.0							2246.0
655	bouillonner						1.0								4.0		1.0	6.0	23.0	34.0								1.0	3.0	21.0							1.0	16.0	4.0	6.0	21.0	119.0			1.0	4.0							266.0
656	boulanger																			76.0																																	76.0
657	bouler		2.0				1.0													148.0							3.0		3.0	1.0							1.0			1.0		81.0				11.0				18.0			270.0
658	bouleverser					2.0	24.0	1.0	2.0	1.0	1.0	3.0	23.0	2.0		1.0	1.0	2.0	18.0	475.0							2.0	5.0	15.0	35.0		1.0	2.0		1.0	56.0	1.0	13.0	20.0	26.0	40.0	350.0	34.0	1410.0	181.0	1577.0							4325.0
659	bouliner																												1.0																								1.0
660	boulocher																		1.0	1.0																				4.0		5.0				1.0							12.0
661	boulonner																1.0		1.0	7.0									1.0	1.0								2.0		2.0	1.0	2.0	3.0	8.0	4.0	17.0							50.0
662	boulotter																		1.0	19.0										1.0								7.0			4.0	3.0				7.0							42.0
663	boumer						43.0												1.0			2.0		1.0			1.0															365.0											413.0
664	bouquiner								1.0				1.0		2.0		2.0		2.0	44.0								1.0	3.0	2.0								22.0	2.0	6.0		11.0				13.0							112.0
665	bourder														1.0		2.0										1.0													2.0		6.0											12.0
666	bourdonner											1.0	2.0				2.0	10.0	22.0	49.0								1.0	4.0	29.0									2.0	6.0	109.0	149.0				8.0							394.0
667	bourgeonner												4.0						3.0	10.0								1.0		3.0							2.0	2.0		1.0	21.0	14.0		1.0		3.0							65.0
668	bourlinguer						1.0		1.0			1.0					1.0			32.0										1.0									1.0		1.0					65.0							104.0
669	bourreler																																											1.0		3.0							4.0
670	bourrer						5.0	1.0	9.0		1.0	1.0	5.0		8.0	6.0	7.0	8.0	35.0	642.0							21.0	34.0	47.0	31.0		2.0		1.0		1.0	5.0	66.0	19.0	42.0	44.0	182.0	81.0	1054.0	470.0	3235.0		1.0		2.0			6066.0
671	bourriquer																												1.0													2.0				1.0							4.0
672	boursicoter																1.0			8.0										1.0								3.0	1.0	2.0		1.0				3.0							20.0
673	boursoufler																		1.0	3.0																		2.0				6.0		8.0	2.0	11.0							33.0
674	bousculer					3.0	3.0	1.0	5.0	2.0		15.0	16.0		7.0	3.0	1.0	41.0	38.0	662.0							2.0	113.0	103.0	24.0		2.0		1.0	4.0	10.0	2.0	45.0	30.0	43.0	158.0	344.0	11.0	152.0	63.0	483.0							2387.0
675	bousiller						1.0		10.0	3.0	11.0	1.0	19.0		3.0	3.0	1.0	2.0	9.0	907.0							13.0	33.0	95.0	18.0		7.0	1.0			15.0	3.0	72.0	34.0	159.0	84.0	313.0	23.0	153.0	40.0	1208.0							3241.0
676	boustifailler																																				1.0																1.0
677	bouter								3.0	1.0			1.0					1.0	2.0	32.0							3.0	3.0	3.0	2.0		1.0					2.0					18.0			2.0	8.0							82.0
678	boutonner										1.0				1.0	2.0	2.0	2.0		110.0							1.0	46.0	84.0	3.0		1.0						11.0	2.0	12.0	4.0	17.0	1.0	11.0	6.0	31.0							348.0
679	bouturer																			2.0																																	2.0
680	boxer						3.0	1.0	13.0	3.0	3.0	1.0	8.0	1.0	22.0	5.0	10.0	5.0	33.0	670.0							3.0	43.0	10.0	17.0		4.0		1.0		2.0		49.0	14.0	69.0	16.0	96.0		4.0	1.0	123.0							1230.0
681	boyauter																																													1.0							1.0
682	boycotter						1.0		1.0			1.0			1.0			2.0	2.0	96.0							11.0	14.0	2.0	4.0		1.0	2.0		1.0	1.0	1.0	20.0	2.0	5.0	13.0	36.0	1.0	1.0	6.0	24.0							249.0
683	braconner														2.0	3.0	1.0	7.0	4.0	54.0										4.0							1.0	3.0	7.0	2.0	4.0	13.0	1.0		2.0	15.0							123.0
684	brader						1.0		2.0			1.0			1.0				4.0	64.0								2.0	6.0	4.0		4.0				2.0	1.0	14.0	9.0	8.0	9.0	40.0	7.0	12.0	2.0	33.0							226.0
685	brailler								6.0	1.0	2.0	2.0	5.0		6.0	1.0	6.0	5.0	33.0	301.0								8.0	7.0	35.0					1.0			14.0	15.0	28.0	33.0	104.0				33.0							646.0
686	braire																			25.0																						18.0											43.0
687	braiser																			20.0										1.0								1.0		1.0	2.0	2.0	6.0	6.0		28.0				1.0			68.0
688	bramer						1.0													13.0												1.0						1.0	1.0	3.0		1.0				3.0							24.0
689	brancarder																			1.0																						1.0		1.0	1.0	3.0							7.0
690	brancher				2.0		5.0	3.0	15.0	3.0	8.0	4.0	21.0		16.0	6.0	7.0	12.0	77.0	1222.0							20.0	371.0	319.0	27.0		10.0		4.0		32.0	6.0	218.0	40.0	118.0	72.0	853.0	42.0	360.0	259.0	1423.0				19.0		1.0	5595.0
691	brandir					2.0	1.0	5.0	5.0	1.0	3.0	5.0	22.0		5.0	4.0	3.0	7.0	53.0	185.0							5.0	20.0	33.0	154.0		2.0	1.0		2.0		4.0	16.0	10.0	18.0	35.0	106.0	8.0	31.0	13.0	710.0				1.0		6.0	1476.0
692	branler					1.0	1.0		12.0		10.0		6.0		48.0	8.0	40.0	14.0	40.0	1137.0							1.0	17.0	60.0	52.0		13.0		5.0	1.0	4.0		323.0	71.0	275.0	79.0	449.0		4.0	12.0	245.0		1.0		1.0		1.0	2931.0
693	branlocher																										1.0																										1.0
694	braquer					1.0	3.0		12.0	4.0	2.0	3.0	19.0		15.0	10.0	6.0	17.0	71.0	1170.0		2.0					10.0	70.0	68.0	59.0		7.0		3.0	6.0	18.0	2.0	74.0	41.0	103.0	75.0	287.0	60.0	186.0	201.0	1111.0							3716.0
695	braser						1.0													1.0									1.0									1.0															4.0
696	brasiller																																									1.0											1.0
697	brasser		1.0						1.0			1.0	1.0		1.0	4.0		2.0	11.0	142.0							2.0	27.0	8.0	6.0	1.0					2.0	6.0	18.0	8.0	14.0	26.0	110.0		18.0	5.0	59.0				2.0			476.0
698	braver				3.0	3.0	120.0	3.0	15.0		2.0	3.0	2.0	1.0	4.0	1.0	3.0	1.0	7.0	194.0							5.0	8.0	10.0	47.0		4.0	1.0	3.0	2.0	2.0	3.0	11.0	7.0	10.0	14.0	54.0		1.0	2.0	108.0						3.0	657.0
699	brayer																1.0		1.0																					4.0	1.0	7.0											14.0
700	bredouiller		1.0				2.0								1.0		1.0	1.0	8.0	22.0								1.0	5.0	4.0							1.0	5.0	2.0	11.0	4.0	23.0	1.0			13.0						2.0	108.0
701	breller																																							1.0													1.0
702	bretteler																																							7.0		1.0											8.0
703	bretter																			8.0																		1.0		3.0		4.0											16.0
704	breveter							1.0										1.0		89.0										2.0													11.0	21.0	8.0	64.0							197.0
705	bricoler						2.0		7.0				3.0		14.0	5.0	5.0	1.0	33.0	349.0							1.0	14.0	4.0	26.0				1.0		1.0	1.0	77.0	18.0	34.0	21.0	101.0	10.0	16.0	8.0	162.0				1.0			915.0
706	brider				2.0		38.0		1.0				1.0						4.0	34.0									4.0	7.0			1.0	1.0		1.0		6.0	2.0	3.0	6.0	34.0	1.0	12.0	26.0	20.0							204.0
707	bridger																			119.0									2.0									1.0	1.0	7.0		60.0				1.0				4.0			195.0
708	briefer							2.0	47.0	7.0	3.0	4.0	41.0		5.0	1.0		2.0		361.0							2.0	43.0	23.0	1.0		1.0	1.0				1.0	34.0	8.0	14.0	2.0	25.0	4.0	52.0	62.0	251.0							997.0
709	briffer							1.0	1.0											5.0								2.0				1.0										1.0		1.0	1.0	4.0							17.0
710	brigander																																						1.0			2.0											3.0
711	briguer						2.0	1.0	3.0	3.0	1.0	1.0	2.0		5.0	1.0	1.0	2.0	11.0	78.0									1.0	2.0			1.0	2.0		2.0	2.0	17.0	9.0	4.0	4.0	38.0				13.0							206.0
712	brillanter																												1.0													44.0										3.0	48.0
713	brillantiner																																												10.0								10.0
714	briller					1.0	23.0	8.0	6.0		9.0	38.0	262.0		8.0	3.0	10.0	119.0	323.0	1577.0							2.0	18.0	256.0	325.0		3.0		2.0	1.0	13.0	8.0	77.0	21.0	100.0	830.0	2416.0	1.0		2.0	169.0							6631.0
715	brimbaler																			1.0																					1.0				1.0								3.0
716	brimer						19.0						1.0					3.0	4.0	29.0									4.0								1.0	2.0	2.0	1.0	3.0	18.0	3.0	12.0	11.0	30.0							143.0
717	bringuebaler																			1.0																								1.0	1.0	1.0							4.0
718	brinquebaler																		1.0	1.0										1.0												2.0				1.0							6.0
719	briquer						1.0								2.0					41.0								7.0	6.0	1.0								4.0	2.0	3.0	3.0	8.0	1.0	3.0	4.0	15.0							101.0
720	briqueter																			1.0								1.0																									2.0
721	briser				3.0	10.0	87.0	39.0	316.0	54.0	91.0	89.0	441.0	3.0	18.0	24.0	7.0	28.0	126.0	6463.0							84.0	240.0	271.0	217.0	2.0	67.0	15.0	33.0	19.0	318.0	37.0	449.0	182.0	450.0	352.0	2007.0	501.0	964.0	402.0	6226.0		2.0		6.0		1.0	20644.0
722	brocanter																			1.0																																	1.0
723	brocarder											1.0								5.0																						1.0		1.0	2.0	2.0							12.0
724	brocher																			5.0																					1.0	6.0		1.0		3.0							16.0
725	broder						6.0		5.0	3.0			2.0	2.0	4.0		2.0	1.0	12.0	177.0								12.0	11.0	6.0				2.0				16.0	7.0	12.0	4.0	40.0	14.0	40.0	30.0	149.0							557.0
726	broncher					1.0	3.0		5.0	1.0	1.0	2.0	9.0		1.0			4.0	7.0	187.0								5.0	18.0			3.0		2.0	1.0	3.0			7.0	13.0	8.0	51.0				135.0							467.0
727	bronzer									1.0	3.0		6.0		8.0		8.0	5.0	9.0	446.0							1.0	3.0	1.0	16.0								23.0	6.0	16.0	17.0	60.0	16.0	69.0	19.0	195.0						1.0	929.0
728	brosser						4.0		21.0	4.0	7.0		12.0	3.0	43.0	4.0	9.0	9.0	41.0	882.0							6.0	66.0	58.0	37.0		3.0						148.0	49.0	67.0	25.0	169.0	38.0	25.0	20.0	291.0				3.0	3.0	1.0	2048.0
729	brouetter																																									2.0											2.0
730	brouiller					2.0		2.0	9.0	2.0	2.0	1.0	15.0		3.0	1.0	1.0	7.0	19.0	677.0							6.0	32.0	21.0	20.0		2.0			1.0	7.0	3.0	26.0	12.0	11.0	152.0	332.0	80.0	107.0	270.0	417.0				4.0			2244.0
731	brouillonner																			1.0																																	1.0
732	brouter								5.0		2.0	2.0	5.0		4.0			6.0	9.0	165.0							1.0	1.0	32.0	8.0		1.0						7.0	3.0	15.0	27.0	57.0	2.0	4.0		26.0							382.0
733	broyer		1.0				2.0		11.0			1.0	3.0		7.0	1.0	4.0	4.0	7.0	432.0							2.0	16.0	7.0	23.0	1.0	2.0		1.0		1.0	1.0	52.0	21.0	52.0	19.0	119.0	23.0	47.0	66.0	184.0							1110.0
734	bruiner																		2.0	2.0									2.0													11.0											17.0
735	bruir											1.0																	4.0									1.0							2.0								8.0
736	bruire																			8.0																						77.0											85.0
737	bruisser																	3.0	4.0	3.0										5.0											28.0	17.0											60.0
738	bruiter				1.0		1.0																						1.0												1.0					2.0							6.0
739	brumer						1.0																																			3.0											4.0
740	brunir												1.0							16.0																		1.0			5.0	5.0	3.0	2.0		6.0						1.0	40.0
741	brusquer								4.0											191.0							11.0	38.0	34.0						1.0			5.0	5.0	9.0	1.0	24.0	2.0	12.0	2.0	24.0							363.0
742	brutaliser								2.0				2.0		2.0	3.0	1.0	6.0	34.0	156.0						1.0	1.0	12.0	14.0	13.0		1.0		1.0				5.0	22.0	4.0	20.0	49.0	13.0	54.0	30.0	134.0							580.0
743	brésiller																													1.0																							1.0
744	brêler																			1.0																		2.0		6.0		31.0											40.0
745	brûler	2.0	1.0			27.0	50.0	64.0	218.0	124.0	146.0	164.0	545.0	15.0	79.0	36.0	26.0	200.0	566.0	7265.0						1.0	265.0	966.0	1037.0	366.0	4.0	58.0	6.0	18.0	30.0	100.0	79.0	880.0	229.0	433.0	992.0	5052.0	269.0	998.0	559.0	5469.0			1.0	5.0	1.0	3.0	27349.0
746	budgéter																			4.0																		1.0						2.0	1.0	6.0							14.0
747	budgétiser																			1.0																						1.0				4.0							6.0
748	buller						13.0		1.0							1.0		1.0		41.0								1.0		1.0								7.0		3.0		18.0				2.0				9.0			98.0
749	buriner																			6.0									1.0	2.0								3.0			1.0			4.0		3.0							20.0
750	buser						1.0													2.0																				2.0						2.0				2.0			9.0
751	buter		1.0				5.0		88.0	3.0	12.0	24.0	67.0	1.0	14.0	7.0	3.0	2.0	21.0	3268.0							28.0	150.0	306.0	21.0	1.0	32.0	2.0	5.0	4.0	17.0	7.0	688.0	53.0	114.0	60.0	441.0	4.0	88.0	88.0	1322.0		1.0		3.0		2.0	6953.0
752	butiner												2.0						4.0	45.0									2.0	1.0							1.0	2.0	2.0	3.0	14.0	8.0		1.0		9.0							94.0
753	butter						1.0		1.0			1.0		1.0	1.0					162.0							77.0	15.0	7.0	1.0		1.0						27.0	2.0	1.0	2.0	10.0		3.0	2.0	26.0						1.0	342.0
754	bâcher																			13.0								1.0	1.0								1.0	1.0		1.0		9.0	2.0	3.0	2.0	8.0							42.0
755	bâcler						1.0		2.0		1.0		1.0			2.0		1.0	3.0	72.0							1.0	5.0	5.0	4.0						1.0		2.0	8.0	10.0	2.0	19.0	18.0	113.0	23.0	378.0							672.0
756	bâfrer																	1.0	2.0	29.0								2.0	2.0	2.0							1.0	1.0	1.0	4.0	4.0	8.0		1.0	1.0	5.0							64.0
757	bâiller						3.0			1.0			3.0		4.0		1.0	1.0	12.0	77.0								10.0	10.0	9.0						1.0		16.0	8.0	20.0	8.0	78.0				32.0							294.0
758	bâillonner							1.0				2.0	3.0				1.0	1.0	6.0	105.0							1.0	40.0	45.0	6.0						2.0	1.0	20.0	3.0	2.0	2.0	21.0	5.0	112.0	16.0	96.0				1.0			492.0
759	bâter								1.0			1.0		2.0					2.0	1.0							10.0		1.0	1.0							1.0			1.0	2.0	2.0				4.0							29.0
760	bâtir	1.0				20.0	1.0	52.0	74.0	11.0	5.0	9.0	40.0	4.0	7.0	2.0	2.0	10.0	20.0	1462.0		1.0					21.0	15.0	5.0	26.0	3.0	14.0		1.0	4.0	10.0	55.0	44.0	23.0	26.0	57.0	206.0	52.0	377.0	63.0	1235.0		6.0		4.0		5.0	3973.0
761	bâtonner																		1.0	2.0								1.0		1.0												1.0			1.0	3.0							10.0
762	béatifier																			2.0																						1.0		5.0		6.0							14.0
763	bécoter								1.0				1.0		1.0	7.0	5.0	6.0	13.0	109.0							1.0		2.0	3.0						2.0		4.0	4.0	5.0	20.0	31.0	1.0	2.0	19.0	18.0						1.0	256.0
764	béer						3.0												1.0											11.0								1.0			1.0	3.0				5.0							25.0
765	bégayer						1.0		1.0	1.0	1.0	1.0	1.0		20.0	5.0	6.0	1.0	29.0	104.0								3.0	30.0	8.0								58.0	23.0	58.0	6.0	116.0				71.0							544.0
766	bémoliser																																										1.0										1.0
767	bénir					3.0		3.0	17.0	5.0	4.0	21.0	82.0		1.0	8.0	1.0	7.0	13.0	605.0						1.0	25.0	581.0	514.0	19.0		4.0		1.0	1.0	7.0	23.0	175.0	16.0	9.0	103.0	147.0	115.0	992.0	660.0	2066.0		16.0		9.0		3802.0	10056.0
768	bénéficier					2.0	2.0	6.0	11.0	28.0	4.0	30.0	85.0		3.0	1.0	1.0	7.0	28.0	557.0								4.0	7.0	34.0	1.0	3.0	3.0	4.0	12.0	36.0	21.0	26.0	40.0	20.0	95.0	259.0	1.0		2.0	254.0							1587.0
769	béquer																			2.0																																	2.0
770	béqueter																			8.0																										2.0							10.0
771	béquiller																																									2.0											2.0
772	bétonner												1.0			1.0		2.0		35.0									1.0									1.0	1.0			5.0	3.0	4.0	1.0	15.0							70.0
773	bêcher				1.0				1.0				1.0		2.0				4.0	51.0								2.0		4.0								4.0		4.0		6.0		4.0		8.0				2.0			94.0
774	bêler											1.0	1.0					1.0	3.0	23.0								1.0	6.0	8.0										4.0	7.0	24.0				6.0							85.0
775	bêtifier																		1.0	1.0																		1.0		1.0	1.0	4.0											9.0
776	bêtiser																												1.0											1.0		3.0								2.0			7.0
777	bûcher							2.0	2.0						8.0	1.0		1.0	1.0	42.0								2.0		3.0								9.0	5.0	5.0	2.0	13.0			1.0	34.0							131.0
778	bûcheronner																			1.0																																	1.0
779	cabaler						2.0																																1.0														3.0
780	cabaner				2.0		20.0																				1.0															19.0											42.0
781	cabiner						1.0													2.0																					1.0	14.0				6.0							24.0
782	cabosser															1.0			1.0	22.0								2.0	1.0	1.0			1.0		1.0			1.0				1.0	15.0	105.0	14.0	133.0							299.0
783	caboter																			1.0										1.0												1.0											3.0
784	cabotiner																		1.0	2.0										1.0								1.0		2.0													7.0
785	cabrer						8.0						5.0						2.0	14.0								2.0	5.0	2.0						1.0		6.0		2.0	3.0	20.0		2.0	1.0	19.0							92.0
786	cabrioler							1.0											1.0	2.0							1.0			2.0							2.0		3.0	1.0	2.0	2.0											17.0
787	cacarder																			3.0																		1.0			5.0	1.0											10.0
788	cacher		10.0			26.0	88.0	53.0	374.0	45.0	45.0	50.0	218.0	57.0	550.0	342.0	538.0	337.0	1961.0	21820.0							303.0	1488.0	1807.0	737.0	2.0	202.0	44.0	81.0	40.0	263.0	173.0	1651.0	1839.0	3848.0	2073.0	8823.0	645.0	2693.0	1672.0	10693.0		3.0		27.0	1.0	14.0	65636.0
789	cacheter																	1.0		14.0								2.0	2.0													26.0	7.0	46.0	1.0	37.0				2.0			138.0
790	cachetonner																			1.0									1.0									1.0				2.0											5.0
791	cadastrer																																											1.0		1.0							2.0
792	cadenasser								1.0						1.0					9.0								4.0	1.0			2.0						1.0		3.0		6.0	12.0	33.0	5.0	53.0							131.0
793	cadencer																											1.0														2.0		2.0		14.0							19.0
794	cadrer						1.0	1.0	1.0				5.0		3.0		1.0	5.0	23.0	103.0								14.0	44.0	17.0		1.0				2.0	1.0	14.0	6.0	8.0	23.0	128.0	3.0	21.0	4.0	51.0							480.0
795	cafarder										1.0								2.0	34.0								1.0	3.0	1.0		1.0	1.0			1.0		5.0	1.0	3.0		9.0		2.0	1.0	17.0							83.0
796	cafeter																			9.0																										9.0							18.0
797	cafouiller									2.0			1.0				1.0		4.0	13.0									2.0	1.0								4.0	3.0	3.0	4.0	23.0				51.0							112.0
798	cafter								10.0		5.0	5.0	2.0				1.0		14.0	122.0								1.0	5.0	2.0		1.0		1.0		2.0		15.0	4.0	21.0	5.0	28.0		2.0	2.0	132.0							380.0
799	cagner																																							2.0													2.0
800	caguer																			6.0										1.0								1.0				2.0				4.0							14.0
801	cahoter																		1.0	4.0										5.0												3.0		2.0	1.0								16.0
802	caillasser																		2.0	10.0								1.0	2.0					1.0				6.0		1.0			1.0		1.0	2.0							27.0
803	cailler									1.0					2.0				8.0	42.0									6.0	2.0						3.0		23.0		3.0	1.0	176.0		4.0		11.0				2.0			284.0
804	cajoler		1.0			1.0			5.0				2.0		2.0	2.0	3.0	1.0	5.0	101.0								3.0	18.0	7.0		1.0				1.0		13.0	3.0	5.0	7.0	23.0	1.0	13.0	6.0	14.0							238.0
805	calaminer																																									1.0											1.0
806	calancher												1.0							7.0									1.0													4.0				4.0							17.0
807	calandrer						3.0																																			1.0											4.0
808	calcifier																			5.0																1.0					4.0	12.0	4.0	8.0	3.0	11.0							48.0
809	calciner						1.0						1.0					3.0	2.0	5.0										1.0											1.0	8.0	5.0	15.0	40.0	40.0							122.0
810	calculer					1.0	11.0	2.0	6.0	2.0	2.0	1.0	23.0	2.0	18.0	5.0	5.0	4.0	25.0	870.0							11.0	93.0	91.0	55.0					1.0	2.0	17.0	155.0	33.0	81.0	30.0	255.0	30.0	120.0	67.0	1215.0						1.0	3234.0
811	caler		1.0		1.0		29.0		2.0	1.0	3.0		19.0			2.0	1.0	2.0	6.0	226.0							4.0	35.0	22.0	8.0		2.0			1.0		1.0	39.0	8.0	35.0	13.0	119.0	9.0	68.0	26.0	347.0							1030.0
812	caleter						5.0													1.0								1.0																									7.0
813	calfater																			3.0								1.0	1.0	1.0								1.0															7.0
814	calfeutrer						1.0													20.0								2.0	3.0	1.0									1.0		2.0	4.0	1.0	4.0	4.0	12.0							55.0
815	calibrer								1.0			1.0	3.0		1.0				1.0	109.0							1.0	3.0	2.0	2.0		1.0					1.0	2.0	1.0	2.0	3.0	161.0	15.0	29.0	32.0	103.0				2.0			476.0
816	caller						2.0																						20.0									2.0		4.0		23.0											51.0
817	calligraphier														1.0					6.0																		1.0					1.0	2.0	2.0	14.0							27.0
818	calmer		2.0			3.0	30.0	3.0	152.0	15.0	18.0	57.0	560.0	2.0	8.0	74.0	31.0	11.0	90.0	7818.0							280.0	7337.0	14577.0	44.0	1.0	27.0	1.0	15.0	5.0	123.0	24.0	341.0	651.0	713.0	240.0	4120.0	90.0	418.0	118.0	983.0		1.0		16.0		27.0	39026.0
819	calmir																																													1.0							1.0
820	calomnier								2.0									1.0	3.0	121.0								9.0	1.0	12.0									21.0	11.0	12.0	39.0	1.0	30.0	15.0	99.0							377.0
821	calotter																												1.0									2.0				4.0		1.0		1.0							9.0
822	calquer														1.0			1.0	2.0	13.0								2.0	2.0	4.0									1.0	2.0	2.0	19.0	1.0	6.0	1.0	20.0							77.0
823	calter																			3.0								6.0	5.0									1.0				6.0				2.0							23.0
824	cambrer						2.0							1.0					4.0	19.0								16.0	51.0	2.0								2.0		7.0	1.0	16.0	1.0	1.0		6.0							129.0
825	cambrioler						1.0	1.0	5.0	5.0		1.0	9.0	1.0	9.0	5.0	4.0	10.0	44.0	722.0							5.0	6.0	8.0	23.0		3.0		2.0	2.0	8.0	4.0	27.0	12.0	22.0	33.0	153.0	50.0	236.0	177.0	860.0							2448.0
826	cameloter																																									1.0											1.0
827	camer						5.0	5.0			282.0		639.0	3.0	2.0		1.0		13.0	40.0								2.0	5.0	2.0								9.0		21.0	13.0	276.0	1.0	38.0	20.0	101.0				1.0			1479.0
828	camionner																			1.0																			1.0						1.0								3.0
829	camoufler						2.0	1.0			3.0	2.0	3.0		1.0			2.0	7.0	257.0							2.0	13.0	15.0	8.0		1.0				3.0		13.0	3.0	6.0	20.0	63.0	19.0	57.0	42.0	179.0							722.0
830	camper				4.0	6.0	8.0	40.0	10.0	5.0	3.0	5.0	32.0	16.0	27.0	8.0	7.0	32.0	93.0	1286.0							27.0	9.0	5.0	21.0		1.0	1.0		2.0	3.0	30.0	36.0	27.0	21.0	137.0	221.0	1.0	6.0	12.0	194.0							2336.0
831	camphrer																																											1.0									1.0
832	canaliser								5.0	2.0		1.0	5.0		1.0	1.0	1.0		9.0	389.0							1.0	15.0	29.0	13.0							8.0	20.0	7.0	11.0	13.0	69.0	2.0	25.0	10.0	52.0				1.0			690.0
833	canarder						1.0	3.0				2.0	3.0		2.0	1.0	1.0	8.0	10.0	160.0							1.0	8.0	6.0	7.0				1.0	1.0			8.0	2.0	4.0	26.0	44.0		2.0	16.0	59.0							376.0
834	cancaner								2.0										1.0	59.0								1.0		1.0							1.0		3.0	2.0	14.0	30.0				4.0							118.0
835	candir																																										2.0	10.0		5.0							17.0
836	caner				1.0		8.0													13.0							1.0		18.0								1.0	4.0		4.0	1.0	10.0		3.0	2.0	16.0				1.0			83.0
837	canneler																			1.0																						1.0	1.0	3.0		1.0							7.0
838	canner												1.0							15.0							26.0		1.0								6.0	1.0				9.0				4.0							63.0
839	cannibaliser												1.0							10.0																					1.0	4.0			1.0	8.0							25.0
840	canoniser							1.0											1.0	21.0								2.0										1.0						9.0	3.0	27.0							65.0
841	canonner					1.0														5.0								10.0														2.0			1.0								19.0
842	canoter																		1.0	1.0										1.0																2.0							5.0
843	cantiner				5.0		71.0													2.0																					1.0	6.0								2.0			87.0
844	cantonner						1.0	1.0	1.0				2.0		33.0			2.0	5.0	45.0							3.0	9.0	12.0								2.0	6.0	4.0	5.0	3.0	16.0	5.0	7.0	23.0	44.0							229.0
845	canuler																		1.0	1.0								1.0	2.0														1.0										6.0
846	caoutchouter																																													1.0							1.0
847	capeler						1.0																																														1.0
848	caper																																													1.0							1.0
849	capitaliser															1.0		1.0		53.0									1.0	3.0							1.0	1.0	1.0	1.0	4.0	10.0			3.0	3.0							83.0
850	capitonner																			6.0																							1.0	12.0	3.0	9.0							31.0
