	lexeme	ai1P	ai1S	ai2P	ai2S	ai3P	ai3S	fi1P	fi1S	fi2P	fi2S	fi3P	fi3S	ii1P	ii1S	ii2P	ii2S	ii3P	ii3S	inf	is1P	is1S	is2P	is2S	is3P	is3S	pI1P	pI2P	pI2S	pP	pc1P	pc1S	pc2P	pc2S	pc3P	pc3S	pi1P	pi1S	pi2P	pi2S	pi3P	pi3S	ppFP	ppFS	ppMP	ppMS	ps1P	ps1S	ps2P	ps2S	ps3P	ps3S	freqLexeme
31	abâtardir												1.0																	2.0												2.0				3.0							8.0
32	abêtir																			3.0																	1.0	2.0			1.0				2.0								9.0
33	abîmer						1.0		12.0	5.0	5.0	9.0	37.0		3.0	8.0	2.0	7.0	15.0	872.0							8.0	84.0	103.0	7.0		3.0	3.0	5.0	7.0	26.0		49.0	64.0	99.0	71.0	265.0	174.0	452.0	226.0	1050.0						1.0	3673.0
34	accabler					1.0	5.0		6.0	1.0		7.0	7.0		1.0	2.0		10.0	18.0	218.0							1.0	28.0	23.0	24.0		1.0			2.0	5.0	1.0	31.0	16.0	6.0	60.0	127.0	7.0	103.0	55.0	200.0							966.0
35	accaparer						2.0		1.0	1.0	1.0		4.0				2.0	2.0	9.0	186.0							2.0	3.0	7.0	7.0					1.0	1.0		21.0	11.0	14.0	41.0	84.0	2.0	34.0	13.0	107.0							556.0
36	accentuer						2.0		2.0			3.0	4.0					1.0	9.0	147.0							2.0	11.0	14.0	17.0		1.0				5.0	1.0	4.0	3.0	13.0	25.0	91.0	4.0	16.0	4.0	46.0							425.0
37	accepter	1.0	15.0			15.0	198.0	102.0	949.0	298.0	214.0	418.0	1394.0	44.0	244.0	408.0	114.0	96.0	386.0	16140.0						1.0	96.0	1857.0	1675.0	391.0	19.0	461.0	630.0	376.0	158.0	616.0	647.0	5049.0	2022.0	1964.0	1140.0	4877.0	559.0	1375.0	351.0	12349.0		3.0	3.0	5.0		5.0	57665.0
38	accessoiriser																			25.0																		2.0		4.0	1.0	2.0	1.0	3.0		1.0							39.0
39	accidenter																		1.0	5.0									2.0										1.0	2.0	1.0	1.0	6.0	36.0	6.0	56.0							117.0
40	acclamer					5.0	4.0	2.0	3.0	3.0		13.0	21.0	3.0		1.0		30.0	18.0	129.0							44.0	79.0	7.0	31.0					2.0	2.0	2.0	9.0	10.0	1.0	103.0	114.0	3.0	26.0	19.0	131.0					1.0		816.0
41	acclimater											1.0	2.0						2.0	97.0								2.0		1.0								5.0	3.0	5.0	4.0	17.0	3.0	15.0	4.0	17.0							178.0
42	accointer																			1.0																		1.0															2.0
43	accolader																																									3.0								1.0			4.0
44	accoler												1.0							7.0										1.0								1.0		1.0	1.0		2.0	3.0	5.0	14.0							36.0
45	accommoder					1.0	1.0	3.0	10.0	2.0	1.0	1.0	11.0		1.0	3.0		2.0	3.0	181.0								1.0	4.0	6.0		8.0		1.0	2.0	4.0	6.0	33.0	2.0	8.0	18.0	44.0	1.0	10.0	1.0	8.0							377.0
46	accompagner		4.0			2.0	24.0	29.0	324.0	142.0	90.0	122.0	423.0	6.0	131.0	129.0	49.0	81.0	410.0	6858.0							18.0	600.0	656.0	93.0		47.0	39.0	40.0	6.0	42.0	39.0	3687.0	423.0	1037.0	402.0	1616.0	79.0	840.0	229.0	1773.0		5.0	7.0	3.0			20505.0
47	accomplir				1.0	4.0	6.0	38.0	97.0	42.0	40.0	14.0	132.0	8.0	18.0	13.0	1.0	15.0	37.0	3852.0							13.0	60.0	24.0	69.0	5.0	11.0	2.0	5.0	6.0	17.0	44.0	99.0	57.0	31.0	145.0	315.0	45.0	369.0	173.0	2298.0		27.0		8.0		101.0	8242.0
48	accoquiner																																								1.0	1.0											2.0
49	accorder		1.0	1.0	1.0	10.0	28.0	26.0	151.0	165.0	34.0	40.0	277.0	11.0	41.0	91.0	16.0	24.0	141.0	3342.0							92.0	881.0	719.0	115.0	2.0	34.0	98.0	31.0	7.0	67.0	144.0	1754.0	408.0	348.0	333.0	1420.0	83.0	825.0	138.0	1720.0			3.0			1.0	13623.0
50	accoster		2.0			1.0	12.0	11.0	3.0	4.0		6.0	28.0	1.0		3.0		3.0	11.0	272.0							7.0	15.0	16.0	6.0			1.0			1.0	10.0	6.0	8.0	6.0	36.0	73.0	2.0	44.0	15.0	193.0							796.0
51	accoter												1.0						1.0	6.0								1.0	3.0									2.0		4.0		4.0		1.0	2.0	4.0							29.0
52	accoucher					2.0	13.0	1.0	33.0	13.0	18.0	2.0	34.0		26.0	11.0	6.0	6.0	46.0	1881.0								54.0	408.0	91.0		9.0	1.0	3.0		11.0	1.0	85.0	21.0	76.0	61.0	455.0	3.0	33.0	4.0	731.0				1.0			4140.0
53	accouder												1.0							3.0									1.0									2.0				2.0		2.0	6.0	16.0							33.0
54	accoupler					1.0	2.0		3.0	3.0	1.0	5.0	5.0		1.0	2.0		10.0	4.0	358.0							2.0	5.0	1.0	16.0		1.0				1.0	1.0	6.0	11.0	2.0	133.0	58.0	6.0	12.0	18.0	31.0							699.0
55	accourir		1.0			11.0	9.0	2.0	21.0	4.0	1.0	15.0	25.0		4.0	3.0	1.0	13.0	13.0	104.0								36.0	21.0	4.0		3.0		3.0	3.0	11.0	6.0	58.0	11.0	26.0	79.0	88.0	2.0	8.0	9.0	208.0		11.0		7.0		12.0	833.0
56	accoutrer															1.0		1.0	1.0	2.0									1.0														2.0		4.0	9.0							21.0
57	accoutumer					1.0		1.0		2.0										34.0									1.0									5.0	1.0	3.0	4.0	8.0	1.0	16.0	15.0	45.0							137.0
58	accrocher	1.0	1.0			4.0	20.0	6.0	103.0	10.0	23.0	17.0	81.0	6.0	92.0	22.0	19.0	47.0	184.0	3507.0							41.0	2444.0	3488.0	157.0	1.0	36.0	4.0	9.0	5.0	23.0	38.0	527.0	288.0	564.0	286.0	1740.0	166.0	633.0	346.0	2090.0		1.0		18.0			17048.0
59	accroire																			64.0																																	64.0
60	accroupir								2.0		2.0		2.0		2.0	1.0			8.0	100.0								21.0	45.0	2.0		2.0						11.0	6.0	15.0	8.0	36.0	5.0	62.0	42.0	113.0		4.0		1.0		2.0	492.0
61	accroître					3.0	8.0			1.0		5.0	12.0					1.0	6.0	325.0						1.0		3.0	3.0	15.0			1.0			3.0	1.0	3.0		1.0	17.0	178.0	10.0	59.0	18.0	100.0						5.0	779.0
62	accréditer						1.0		1.0	1.0			2.0					2.0		23.0									1.0	1.0						1.0		2.0			3.0	6.0	1.0	13.0	15.0	37.0							110.0
63	accueillir		3.0			13.0	44.0	60.0	71.0	25.0	12.0	54.0	202.0	6.0	11.0	26.0	4.0	13.0	66.0	4578.0							345.0	361.0	134.0	92.0	4.0	20.0	6.0	9.0	21.0	46.0	324.0	244.0	96.0	85.0	163.0	722.0	35.0	278.0	341.0	990.0							9504.0
64	acculer					2.0	1.0					1.0	3.0			1.0		1.0	2.0	59.0							1.0	5.0	3.0	1.0				1.0		2.0		3.0	4.0	6.0	9.0	11.0	4.0	42.0	49.0	179.0							390.0
65	accumuler		1.0			4.0	4.0		1.0	2.0		6.0	9.0	1.0	8.0	1.0	1.0	23.0	20.0	320.0							3.0	9.0	4.0	48.0		1.0			2.0	1.0	8.0	35.0	17.0	23.0	291.0	286.0	92.0	96.0	72.0	339.0							1728.0
66	accuser	1.0	4.0		1.0	7.0	35.0	15.0	50.0	21.0	12.0	61.0	238.0	9.0	52.0	49.0	23.0	56.0	268.0	3980.0	4.0						27.0	270.0	248.0	369.0	4.0	30.0	29.0	20.0	14.0	118.0	66.0	887.0	1082.0	719.0	594.0	2577.0	58.0	1079.0	535.0	5165.0			2.0		2.0	6.0	18787.0
67	accéder	1.0	2.0				12.0	8.0	13.0	20.0	10.0	6.0	32.0	2.0	11.0	16.0	3.0	6.0	29.0	3855.0							3.0	65.0	33.0	45.0		5.0	2.0			3.0	20.0	151.0	36.0	43.0	48.0	287.0		6.0	4.0	425.0						1.0	5203.0
68	accélérer					2.0	12.0	5.0	5.0	4.0	4.0	3.0	39.0	6.0	7.0	10.0	2.0	2.0	58.0	1875.0							54.0	302.0	784.0	67.0		1.0			1.0	31.0	32.0	109.0	28.0	61.0	138.0	974.0	26.0	164.0	25.0	418.0				1.0			5250.0
69	achalander																																												2.0	4.0							6.0
70	achaler								2.0				1.0						2.0	18.0									8.0									9.0		1.0		6.0		3.0	2.0	2.0							54.0
71	acharner						6.0	1.0	5.0			5.0	12.0	1.0	5.0	1.0	3.0	16.0	38.0	214.0							2.0	12.0	15.0	16.0		1.0		3.0		1.0		34.0	65.0	92.0	65.0	224.0	10.0	101.0	47.0	193.0		1.0					1189.0
72	acheminer					1.0	1.0	3.0	1.0			2.0	3.0	1.0	2.0			1.0	13.0	87.0							1.0	5.0	2.0	7.0					1.0		3.0	7.0	1.0		15.0	34.0	18.0	24.0	33.0	75.0							341.0
73	acheter	1.0	18.0		1.0	22.0	103.0	93.0	1593.0	113.0	251.0	124.0	837.0	21.0	374.0	153.0	92.0	125.0	795.0	34708.0		1.0					211.0	1833.0	1876.0	513.0	10.0	419.0	48.0	90.0	51.0	283.0	169.0	2880.0	1006.0	1763.0	1351.0	4852.0	689.0	2380.0	1051.0	23063.0	1.0	2.0	3.0	19.0		5.0	83993.0
74	achever		1.0			3.0	42.0	13.0	32.0	7.0	5.0	17.0	159.0	5.0	3.0	2.0	1.0	5.0	48.0	1560.0							35.0	212.0	462.0	15.0		4.0		1.0	5.0	35.0	15.0	99.0	22.0	58.0	79.0	878.0	29.0	333.0	49.0	681.0				2.0		1.0	4918.0
75	achopper																																								2.0	3.0											5.0
76	acidifier																			2.0																		1.0								4.0							7.0
77	aciduler																																											4.0	4.0	4.0							12.0
78	acoquiner						1.0												2.0	33.0									1.0	1.0						3.0		3.0		6.0	1.0	15.0	1.0	8.0	7.0	28.0							110.0
79	acquiescer		1.0			1.0	4.0			1.0	4.0	1.0	3.0		2.0	1.0			4.0	85.0							1.0	22.0	30.0	8.0		1.0				2.0		19.0	15.0	23.0	16.0	73.0				62.0							379.0
