	lemme	case	nb	graphie
97714	éjecter	pi2P	2	éjecter-éjectez
97869	électrocuter	pi2P	2	électrocuter-électrocutez
97893	élever	ii3P	3	élevaient-élevé-élevés
97894	élever	ii3S	3	élevait-élevé-élevée
97937	éliminer	ii3P	2	éliminaient-éliminé
97938	éliminer	ii3S	2	éliminait-éliminé
97951	éliminer	pi2P	2	éliminer-éliminez
98000	éloigner	ii3P	2	éloignaient-éloigné
98002	éloigner	inf	2	éloigne-éloigner
98156	émerger	ii3S	2	émergeait-émergé
98344	émuler	ii3P	2	émulaient-émulés
98376	énerver	ii3P	2	énervaient-énervé
98377	énerver	ii3S	3	énervait-énervé-énervée
98389	énerver	pi2P	2	énerver-énervez
98534	épargner	ii3S	2	épargnait-épargné
98538	épargner	pI2S	2	épargne-épargné
98545	épargner	pi1P	2	épargnes-épargnons
98619	épauler	pI2P	2	épauler-épaulez
98654	épeler	pi2P	2	épeler-épelez
98713	épier	pI2P	2	épier-épiez
98883	épouser	ii3P	2	épousaient-épousé
98884	épouser	ii3S	2	épousait-épousé
98996	éprouver	ii3P	2	éprouvaient-éprouvé
99032	épuiser	ii3P	2	épuisaient-épuisé
99033	épuiser	ii3S	2	épuisait-épuisé
99044	épuiser	pi2P	2	épuiser-épuisez
99372	étayer	fi3P	2	étaieront-étayeront
99382	étayer	pi1S	2	étaie-étaye
99385	étayer	pi3S	2	étaie-étaye
99578	étirer	pI2P	2	étirer-étirez
99646	étonner	pi2P	2	étonner-étonnez
99669	étouffer	ii3P	2	étouffaient-étouffé
99670	étouffer	ii3S	2	étouffait-étouffé
99851	étudier	ii3P	2	étudiaient-étudié
99852	étudier	ii3S	2	étudiait-étudié
99865	étudier	pi2P	2	étudier-étudiez
99898	évacuer	ii3S	2	évacuait-évacués
99945	évader	pi2P	2	évader-évadez
99967	évaluer	ii3S	2	évaluait-évalué
99970	évaluer	pI2P	2	évaluer-évaluez
99979	évaluer	pi2P	2	évaluer-évaluez
100088	éveiller	pi2P	2	éveiller-éveillez
100129	éventrer	pi2P	2	éventrer-éventrez
100196	éviscérer	ii3S	2	éviscérait-éviscéré
100337	être	pI1P	2	sommes-soyons
100338	être	pI2P	3	soyez-êtes-être
100339	être	pI2S	2	sois-suis
100340	être	pc1P	2	serais-serions
100342	être	pc2P	2	serais-seriez
100348	être	pi2P	3	sommes-êtes-être
100349	être	pi2S	2	es-suis
100356	être	ps2S	2	sois-sommes
100357	être	ps3P	2	soient-étaient
