	lemme	case	nb	graphie
76055	renverser	pI2S	2	renverse-renversé
76063	renverser	pi2P	2	renverser-renversez
76089	renvoyer	ii3P	2	renvoyaient-renvoyé
76090	renvoyer	ii3S	3	renvoyait-renvoyé-renvoyés
76093	renvoyer	pI2P	2	renvoyer-renvoyez
76103	renvoyer	pi2P	2	renvoyer-renvoyez
76255	repasser	ii3P	2	repassaient-repassé
76256	repasser	ii3S	2	repassait-repassé
76259	repasser	pI2P	2	repasser-repassez
76280	repayer	fi1S	2	repaierai-repayerai
76287	repayer	pi1S	2	repaie-repaye
76289	repayer	pi2S	2	repaies-repayes
76377	repenser	ii3S	2	repensait-repensé
76577	replier	pi2P	2	replier-repliez
76763	repousser	pi2P	2	repousser-repoussez
76789	reprendre	inf	2	reprendre-reprenons
76802	reprendre	pi2P	2	reprendre-reprenez
76857	reprocher	pi2P	2	reprocher-reprochez
76909	reprogrammer	ii3S	2	reprogrammait-reprogrammé
76949	représenter	ii3S	2	représentait-représenter
76962	représenter	pi2P	2	représenter-représentez
76991	repérer	ii3P	3	repéraient-repéré-repérés
76992	repérer	ii3S	2	repérait-repéré
77131	respecter	ii3P	2	respectaient-respecté
77132	respecter	ii3S	2	respectait-respecté
77145	respecter	pi2P	2	respecter-respectez
77307	ressayer	fi2S	2	ressaieras-ressayeras
77309	ressayer	fi3S	2	ressaiera-ressayera
77313	ressayer	pI2S	2	ressaie-ressaye
77317	ressayer	pi3S	2	ressaie-ressaye
77333	ressembler	ii3S	3	ressemblait-ressembler-ressemblé
77347	ressembler	pi2P	2	ressembler-ressemblez
77348	ressembler	pi2S	2	ressemblent-ressembles
77382	ressentir	ii3S	2	ressentait-ressentir
77383	ressentir	inf	2	ressentez-ressentir
77554	ressusciter	ii3P	2	ressuscitaient-ressuscité
77621	rester	ii3P	3	restaient-resté-restée
77622	rester	ii3S	2	restait-resté
77623	rester	inf	2	restaient-rester
77687	restreindre	pi2P	2	restreignez-restreindre
77929	retirer	ii3P	4	retiraient-retiré-retirée-retirés
77930	retirer	ii3S	2	retirait-retiré
77986	retomber	pi2P	2	retomber-retombez
78037	retourner	ii3P	2	retournaient-retourné
78038	retourner	ii3S	2	retournait-retourné
78071	retracer	ii3P	2	retracé-retraçaient
78116	retrancher	pI2S	2	retranche-retranché
78270	retrouver	ii3P	3	retrouvaient-retrouvé-retrouvée
78271	retrouver	ii3S	3	retrouvait-retrouvé-retrouvée
78282	retrouver	pi1P	2	retrouves-retrouvons
78287	retrouver	pi3S	2	retrouve-retrouvé
78354	revendiquer	pI2S	2	revendique-revendiqué
78814	ridiculiser	pi2P	2	ridiculiser-ridiculisez
78900	rincer	pi2P	2	rincer-rincez
78939	riposter	ii3P	2	ripostaient-riposté
78940	riposter	ii3S	2	ripostait-riposté
78979	rire	pI2P	2	riez-rire
78989	rire	pi2P	2	riez-rire
78996	rire	ps2S	2	rie-ries
79011	risquer	ii3P	2	risquaient-risqué
79026	risquer	pi2P	2	risquer-risquez
79199	rompre	pi2P	2	rompez-rompre
79234	ronfler	ii3S	2	ronflait-ronflé
79485	rouler	ii3P	2	roulaient-roulé
79606	rudoyer	pi2P	2	rudoyer-rudoyez
79683	ruiner	ii3S	3	ruinait-ruiné-ruinés
79696	ruiner	pi2P	2	ruiner-ruinez
80006	réaliser	ii3P	2	réalisaient-réalisé
80007	réaliser	ii3S	3	réalisait-réaliser-réalisé
80020	réaliser	pi2P	3	réaliser-réalises-réalisez
80182	réarranger	pi2P	2	réarranger-réarrangez
80291	réchapper	ii3P	2	réchappaient-réchappé
80332	réchauffer	pi2P	2	réchauffer-réchauffez
80410	réclamer	ii3P	3	réclamaient-réclamé-réclamée
80424	réclamer	pi2P	2	réclamer-réclamez
80488	récompenser	ii3S	2	récompensait-récompensés
80522	réconcilier	ii3P	2	réconciliaient-réconciliés
80534	réconcilier	pi2P	2	réconcilier-réconciliez
80615	récupérer	ii3P	2	récupéraient-récupéré
80616	récupérer	ii3S	3	récupérait-récupéré-récupérées
80619	récupérer	pI2P	2	récupérer-récupérez
80629	récupérer	pi2P	2	récupérer-récupérez
80676	récuser	pi2P	2	récuser-récusez
80837	réentendre	pi2P	2	réentendez-réentendre
80848	réer	pi1S	2	rée-réé
80853	réessayer	fi1P	2	réessaierons-réessayerons
80854	réessayer	fi1S	2	réessaierai-réessayerai
80855	réessayer	fi2P	2	réessaierez-réessayerez
80856	réessayer	fi2S	2	réessaieras-réessayeras
80857	réessayer	fi3P	2	réessaieront-réessayeront
80858	réessayer	fi3S	2	réessaiera-réessayera
80867	réessayer	pI2S	2	réessaie-réessaye
80868	réessayer	pc1S	2	réessaierais-réessayerais
80869	réessayer	pc2S	2	réessaierais-réessayerais
80870	réessayer	pc3S	2	réessaierait-réessayerait
80872	réessayer	pi1S	2	réessaie-réessaye
80874	réessayer	pi2S	2	réessaies-réessayes
80875	réessayer	pi3P	2	réessaient-réessayent
80876	réessayer	pi3S	2	réessaie-réessaye
81105	référer	ii3P	2	référaient-référée
81219	régler	ii3P	2	réglaient-réglée
81605	réintégrer	pI2P	2	réintégrer-réintégrez
81893	réparer	ii3P	2	réparaient-réparé
81897	réparer	pI2P	2	réparer-réparez
81907	réparer	pi2P	2	réparer-réparez
81964	répertorier	ii3P	2	répertoriaient-répertorié
81992	répliquer	ii3S	2	répliquait-répliqué
82072	réprimander	pi2P	2	réprimander-réprimandez
82183	répéter	ii3S	2	répétait-répété
82243	réserver	ii3P	2	réservaient-réservé
82244	réserver	ii3S	2	réservait-réservé
82257	réserver	pi2P	2	réserver-réservez
82304	résigner	ii3S	2	résignait-résigné
82313	résigner	pi2P	2	résigner-résignez
82359	résister	ii3S	2	résistait-résisté
82372	résister	pi2P	2	résister-résistez
82439	résoudre	pi2P	2	résolvez-résoudre
82597	rétracter	pi2P	2	rétracter-rétractez
82803	réveiller	ii3S	2	réveillait-réveillé
82856	réviser	ii3P	2	révisaient-révisé
82969	révéler	ii3P	3	révélaient-révélé-révélés
82970	révéler	ii3S	2	révélait-révélé
83191	rêver	ii3S	2	rêvait-rêvé
83203	rêver	pi1S	2	rêve-rêvé
83204	rêver	pi2P	2	rêver-rêvez
83314	saboter	ii3S	2	sabotait-saboté
83449	sacrifier	pi2P	2	sacrifier-sacrifiez
83471	saigner	ii3P	2	saignaient-saigné
83472	saigner	ii3S	3	saignait-saigné-saignée
83484	saigner	pi2P	2	saigner-saignez
83487	saigner	pi3S	2	saigne-saigné
83813	saper	pi2P	2	saper-sapez
84007	sauter	ii3P	2	sautaient-sauté
84008	sauter	ii3S	3	sautait-sauter-sauté
84021	sauter	pi2P	2	sauter-sautez
84089	sauver	ii3P	4	sauvaient-sauvé-sauvée-sauvés
84090	sauver	ii3S	3	sauvait-sauvé-sauvés
84091	sauver	inf	2	sauver-sauvé
84102	sauver	pi1P	2	sauves-sauvons
84128	savoir	ai2S	2	sauras-sus
84130	savoir	ai3S	2	saura-sut
84139	savoir	ii2P	2	savais-saviez
84143	savoir	inf	2	savent-savoir
84149	savoir	pI1P	2	sachons-savons
84150	savoir	pI2P	2	sachez-savez
84151	savoir	pI2S	2	sache-sais
84210	savourer	pI2P	2	savourer-savourez
84269	scander	ii3P	2	scandaient-scandés
84292	scanner	ii3S	2	scannait-scanné
84341	sceller	pi2P	2	sceller-scellez
84422	scintiller	pi2P	2	scintiller-scintillez
84437	scolariser	ii3S	2	scolarisait-scolarisé
84577	secouer	ii3S	2	secouait-secoué
84591	secouer	pi3S	2	secoue-secoué
84708	sembler	ii3P	2	semblaient-semblé
84709	sembler	ii3S	2	semblait-semblé
84801	sentir	ii3S	2	sentait-sentir
84904	serrer	ii3P	2	serraient-serrée
84908	serrer	pI2P	2	serrer-serrez
84918	serrer	pi2P	2	serrer-serrez
85152	signaler	pi2P	2	signaler-signalez
85177	signer	ii3P	2	signaient-signé
85178	signer	ii3S	2	signait-signés
85211	signifier	inf	2	signifie-signifier
85379	siroter	ii3S	2	sirotait-siroté
85403	situer	ii3P	2	situaient-situés
85415	situer	pi2P	2	situer-situez
85619	soigner	ii3P	2	soignaient-soigné
85897	sonner	ii3S	2	sonnait-sonné
85910	sonner	pi2P	2	sonner-sonnez
85952	sortir	ii3S	2	sortait-sortir
85967	sortir	pi2S	2	sors-sort
86006	soucier	pi2P	2	soucier-souciez
86051	soudoyer	ii3S	2	soudoyait-soudoyé
86081	souffler	ii3P	2	soufflaient-soufflé
86093	souffler	pi2P	2	souffler-soufflez
86168	souhaiter	ii3P	2	souhaitaient-souhaité
86169	souhaiter	ii3S	2	souhaitait-souhaité
86173	souhaiter	pI2S	2	souhaite-souhaité
86180	souhaiter	pi1P	2	souhaites-souhaitons
86251	soulager	pi2P	2	soulager-soulagez
86306	souligner	ii3S	2	soulignait-souligné
86350	soumettre	pi2P	2	soumettez-soumettre
86439	soupçonner	ii3P	2	soupçonnaient-soupçonné
86487	sourdre	inf	4	sourd-sourdait-sourdent-sourdre
86507	sourire	ii3S	2	souriait-sourire
86523	sourire	pi2P	2	souriez-sourire
86529	sourire	ps2S	2	sourie-souries
86576	sous-estimer	ii3P	3	sous-estimaient-sous-estimé-sous-estimés
