	graphie	lemme	cat	infover	genre	nombre	occurrences	rangFW	rangFWV	case
24372	dégage	dégager	VER				47.0	59167.5	24401.5	
24407	indispose	indisposer	VER		f	s	47.0	59167.5	24401.5	
24436	titra	titrer	VER				47.0	59167.5	24401.5	
24531	attends	attendre	VER				46.0	59693.5	24637.0	
24740	pense	penser	VER				46.0	59693.5	24637.0	
24743	rebondi	rebondir	VER		m	s	46.0	59693.5	24637.0	
24794	mesurons	mesurer	VER		m	p	45.0	60235.0	24874.5	
25033	palmer	palmer	VER		m	s	44.0	60811.5	25136.0	
25985	tenez	tenir	VER				41.0	62595.0	25976.5	
26209	crois	croire	VER				40.0	63230.0	26277.5	
26339	emmène	emmener	VER				40.0	63230.0	26277.5	
26498	appelez	appeler	VER				39.0	63882.5	26580.0	
26525	vas	aller	VER				39.0	63882.5	26580.0	
26933	essaie	essayer	VER				38.0	64549.0	26882.0	
26996	aimes	aimer	VER				38.0	64549.0	26882.0	
27060	prenez	prendre	VER				37.0	65235.0	27201.5	
27262	pardonne	pardonner	VER				37.0	65235.0	27201.5	
27336	avérés	avérer	VER		m	p	37.0	65235.0	27201.5	
27338	suivez	suivre	VER				37.0	65235.0	27201.5	
27570	avérée	avérer	VER		f	s	36.0	65944.5	27550.0	
27900	sautons	sauter	VER		m	p	35.0	66680.5	27906.5	
27909	sentant	sentir	VER		m	s	35.0	66680.5	27906.5	
28048	pourrais	pouvoir	VER				35.0	66680.5	27906.5	
28079	souviens	souvenir	VER				34.0	67447.0	28275.5	
28446	reverse	reverser	VER				34.0	67447.0	28275.5	
28551	parlez	parler	VER				33.0	68211.5	28657.0	
28553	peut	pouvoir	VER				33.0	68211.5	28657.0	
28695	mettez	mettre	VER				33.0	68211.5	28657.0	
28741	blottis	blottir	VER		m	p	33.0	68211.5	28657.0	
28987	fit	faire	VER				32.0	68993.5	29044.0	
29195	veut	vouloir	VER				32.0	68993.5	29044.0	
29358	accroupis	accroupir	VER		m	p	31.0	69850.0	29444.5	
29428	rappelle	rappeler	VER				31.0	69850.0	29444.5	
29490	sortez	sortir	VER				31.0	69850.0	29444.5	
29619	roulons	rouler	VER		m	p	31.0	69850.0	29444.5	
29700	ramène	ramener	VER				30.0	70751.5	29852.0	
29849	suce	sucer	VER				30.0	70751.5	29852.0	
29857	menez	mener	VER				30.0	70751.5	29852.0	
29935	volette	voleter	VER		f	s	30.0	70751.5	29852.0	
30017	rebondis	rebondir	VER		m	p	30.0	70751.5	29852.0	
30211	réveille	réveiller	VER				29.0	71669.0	30270.5	
30324	voila	voiler	VER				29.0	71669.0	30270.5	
30349	kiffais	kiffer	VER				29.0	71669.0	30270.5	
30614	terra	terrer	VER				28.0	72628.0	30717.0	
30740	domine	dominer	VER				28.0	72628.0	30717.0	
30786	accroupie	accroupir	VER		f	s	28.0	72628.0	30717.0	
30932	arrêtez	arrêter	VER				28.0	72628.0	30717.0	
30935	lover	lover	VER				28.0	72628.0	30717.0	
30979	repointe	repointer	VER		f	s	27.0	73637.5	31193.0	
31139	écoutez	écouter	VER				27.0	73637.5	31193.0	
31254	ri	rire	VER				27.0	73637.5	31193.0	
31346	tut	taire	VER				27.0	73637.5	31193.0	
31543	essaye	essayer	VER				26.0	74672.0	31683.0	
31692	regardes	regarder	VER				26.0	74672.0	31683.0	
31771	grimper	grimper	VER		m	s	26.0	74672.0	31683.0	
31814	rentre	rentrer	VER				26.0	74672.0	31683.0	
31831	schlingue	schlinguer	VER				26.0	74672.0	31683.0	
31944	reviens	revenir	VER				25.0	75767.0	32206.0	
32051	tale	taler	VER				25.0	75767.0	32206.0	
32144	cranes	craner	VER				25.0	75767.0	32206.0	
32202	coud	coudre	VER				25.0	75767.0	32206.0	
32245	pouffe	pouffer	VER				25.0	75767.0	32206.0	
32314	mit	mettre	VER				25.0	75767.0	32206.0	
32743	renaude	renauder	VER				24.0	76975.5	32784.0	
33051	restez	rester	VER				24.0	76975.5	32784.0	
33054	rote	roter	VER		f	s	24.0	76975.5	32784.0	
33095	clive	cliver	VER				23.0	78243.0	33385.0	
33109	aidez	aider	VER				23.0	78243.0	33385.0	
33206	croyez	croire	VER				23.0	78243.0	33385.0	
33314	gerber	gerber	VER				23.0	78243.0	33385.0	
33315	pinta	pinter	VER		f	s	23.0	78243.0	33385.0	
33325	rends	rendre	VER				23.0	78243.0	33385.0	
33399	calmez	calmer	VER				23.0	78243.0	33385.0	
33611	pensez	penser	VER				23.0	78243.0	33385.0	
33658	fonce	foncer	VER				23.0	78243.0	33385.0	
33706	chie	chier	VER				22.0	79523.0	33986.0	
33737	penses	penser	VER				22.0	79523.0	33986.0	
33793	suit	suivre	VER				22.0	79523.0	33986.0	
33964	croque	croquer	VER				22.0	79523.0	33986.0	
34060	attendez	attendre	VER				22.0	79523.0	33986.0	
34187	sait	savoir	VER				22.0	79523.0	33986.0	
34269	buvant	boire	VER		m	s	22.0	79523.0	33986.0	
34335	trouvez	trouver	VER				21.0	80870.5	34639.0	
34691	arrive	arriver	VER				21.0	80870.5	34639.0	
34726	sonne	sonner	VER				21.0	80870.5	34639.0	
34735	voyez	voir	VER				21.0	80870.5	34639.0	
34747	kiffait	kiffer	VER				21.0	80870.5	34639.0	
34811	jouasse	jouer	VER			s	21.0	80870.5	34639.0	
34850	soupire	soupirer	VER				21.0	80870.5	34639.0	
34900	barra	barrer	VER				21.0	80870.5	34639.0	
34928	commence	commencer	VER				21.0	80870.5	34639.0	
35226	jure	jurer	VER				20.0	82341.0	35354.0	
35529	sauvez	sauver	VER				20.0	82341.0	35354.0	
35565	externaliser	externaliser	VER				20.0	82341.0	35354.0	
35657	répare	réparer	VER				20.0	82341.0	35354.0	
35751	kiffant	kiffer	VER				19.0	83875.5	36099.5	
35805	délia	délier	VER				19.0	83875.5	36099.5	
35907	vérifie	vérifier	VER				19.0	83875.5	36099.5	
35997	promets	promettre	VER				19.0	83875.5	36099.5	
36064	reniflant	renifler	VER		m	s	19.0	83875.5	36099.5	
36116	respire	respirer	VER				19.0	83875.5	36099.5	
36230	rebondies	rebondir	VER		f	p	19.0	83875.5	36099.5	
36233	priez	prier	VER				19.0	83875.5	36099.5	
36457	font	faire	VER				19.0	83875.5	36099.5	
36611	préparez	préparer	VER				18.0	85482.0	36903.0	
