	graphie	lemme	cat	infover	genre	nombre	occurrences	rangFW	rangFWV	case
55135	vise	viser	VER				6.0	122618.5	55588.0	
55286	peuvent	pouvoir	VER				6.0	122618.5	55588.0	
55299	allé	aller	VER				6.0	122618.5	55588.0	
55312	serrons	serrer	VER				6.0	122618.5	55588.0	
55319	volent	voler	VER				6.0	122618.5	55588.0	
55363	sautez	sauter	VER				6.0	122618.5	55588.0	
55472	brait	braire	VER				6.0	122618.5	55588.0	
55509	aiment	aimer	VER				6.0	122618.5	55588.0	
55541	démoniser	démoniser	VER				6.0	122618.5	55588.0	
55571	fonctionne	fonctionner	VER				6.0	122618.5	55588.0	
55660	comprimant	comprimer	VER		m	s	6.0	122618.5	55588.0	
55782	mariner	mariner	VER				6.0	122618.5	55588.0	
55822	cries	crier	VER				6.0	122618.5	55588.0	
55865	tambourine	tambouriner	VER				6.0	122618.5	55588.0	
55975	concentre	concentrer	VER				6.0	122618.5	55588.0	
55978	écloront	éclore	VER				6.0	122618.5	55588.0	
55994	présentez	présenter	VER				6.0	122618.5	55588.0	
56030	commencez	commencer	VER				6.0	122618.5	55588.0	
56068	vapoter	vapoter	VER				6.0	122618.5	55588.0	
56099	éloigne	éloigner	VER				6.0	122618.5	55588.0	
56141	cailleras	cailler	VER		f	p	6.0	122618.5	55588.0	
56143	fume	fumer	VER				6.0	122618.5	55588.0	
56166	vapote	vapoter	VER				6.0	122618.5	55588.0	
56226	minaudant	minauder	VER		m	s	6.0	122618.5	55588.0	
56292	entendons	entendre	VER				6.0	122618.5	55588.0	
56336	mitas	miter	VER		f	p	6.0	122618.5	55588.0	
56361	soulève	soulever	VER				6.0	122618.5	55588.0	
56550	chantons	chanter	VER				6.0	122618.5	55588.0	
56570	chantent	chanter	VER				6.0	122618.5	55588.0	
56684	trisse	trisser	VER				6.0	122618.5	55588.0	
56689	accrochant	accrocher	VER		m	s	6.0	122618.5	55588.0	
56821	profites	profiter	VER				6.0	122618.5	55588.0	
56884	occupons	occuper	VER				6.0	122618.5	55588.0	
56892	nagent	nager	VER				6.0	122618.5	55588.0	
56903	ment	mentir	VER				6.0	122618.5	55588.0	
56947	aida	aider	VER				6.0	122618.5	55588.0	
57125	glousse	glousser	VER				6.0	122618.5	55588.0	
57142	ramenez	ramener	VER				6.0	122618.5	55588.0	
57276	pare	parer	VER				5.0	129421.0	59149.5	
57329	déchire	déchirer	VER				5.0	129421.0	59149.5	
57373	rotes	roter	VER		f	p	5.0	129421.0	59149.5	
57413	écosse	écosser	VER				5.0	129421.0	59149.5	
57501	prenons	prendre	VER				5.0	129421.0	59149.5	
57503	prennent	prendre	VER				5.0	129421.0	59149.5	
57507	jette	jeter	VER				5.0	129421.0	59149.5	
57535	penche	pencher	VER				5.0	129421.0	59149.5	
57540	souhaites	souhaiter	VER				5.0	129421.0	59149.5	
57767	crée	créer	VER				5.0	129421.0	59149.5	
57781	baptise	baptiser	VER				5.0	129421.0	59149.5	
57810	blinder	blinder	VER				5.0	129421.0	59149.5	
57832	ferre	ferrer	VER				5.0	129421.0	59149.5	
57884	rager	rager	VER				5.0	129421.0	59149.5	
57923	deviennent	devenir	VER				5.0	129421.0	59149.5	
57927	semblent	sembler	VER				5.0	129421.0	59149.5	
57962	maudissons	maudire	VER			p	5.0	129421.0	59149.5	
58031	bénissez	bénir	VER				5.0	129421.0	59149.5	
58083	appuie	appuyer	VER				5.0	129421.0	59149.5	
58323	approchez	approcher	VER				5.0	129421.0	59149.5	
58342	versa	verser	VER				5.0	129421.0	59149.5	
58425	achève	achever	VER				5.0	129421.0	59149.5	
58455	éloignez	éloigner	VER				5.0	129421.0	59149.5	
58512	paniquées	paniquer	VER		f	p	5.0	129421.0	59149.5	
58526	déboussolant	déboussoler	VER		m	s	5.0	129421.0	59149.5	
58527	bourlingue	bourlinguer	VER		f	s	5.0	129421.0	59149.5	
58533	entends	entendre	VER				5.0	129421.0	59149.5	
58548	conspirant	conspirer	VER		m	s	5.0	129421.0	59149.5	
58606	sommer	sommer	VER				5.0	129421.0	59149.5	
58652	entichée	enticher	VER		f	s	5.0	129421.0	59149.5	
58774	jouasse	jouer	VER		m	s	5.0	129421.0	59149.5	
58777	comprends	comprendre	VER				5.0	129421.0	59149.5	
58793	empêche	empêcher	VER				5.0	129421.0	59149.5	
58831	mangez	manger	VER				5.0	129421.0	59149.5	
58838	aboie	aboyer	VER				5.0	129421.0	59149.5	
58965	voient	voir	VER				5.0	129421.0	59149.5	
59139	étouffe	étouffer	VER				5.0	129421.0	59149.5	
59211	gara	garer	VER				5.0	129421.0	59149.5	
59213	kiffaient	kiffer	VER				5.0	129421.0	59149.5	
59347	lisant	lire	VER		m	s	5.0	129421.0	59149.5	
59378	annule	annuler	VER				5.0	129421.0	59149.5	
59388	tombent	tomber	VER				5.0	129421.0	59149.5	
59469	tirez	tirer	VER				5.0	129421.0	59149.5	
59488	godons	goder	VER		m	p	5.0	129421.0	59149.5	
59534	savez	savoir	VER				5.0	129421.0	59149.5	
59567	gainer	gainer	VER				5.0	129421.0	59149.5	
59636	catcher	catcher	VER				5.0	129421.0	59149.5	
59689	quittent	quitter	VER				5.0	129421.0	59149.5	
59847	indique	indiquer	VER				5.0	129421.0	59149.5	
59865	gargouillant	gargouiller	VER		m	s	5.0	129421.0	59149.5	
59898	mottons	motter	VER		m	p	5.0	129421.0	59149.5	
59907	reprenez	reprendre	VER				5.0	129421.0	59149.5	
60029	tua	tuer	VER				5.0	129421.0	59149.5	
60036	abandonne	abandonner	VER				5.0	129421.0	59149.5	
60055	stocker	stocker	VER				5.0	129421.0	59149.5	
60146	reliant	relier	VER				5.0	129421.0	59149.5	
60203	claves	claver	VER		m	p	5.0	129421.0	59149.5	
60242	allume	allumer	VER				5.0	129421.0	59149.5	
60255	blotti	blottir	VER		m	s	5.0	129421.0	59149.5	
60260	desserre	desserrer	VER		f	s	5.0	129421.0	59149.5	
60315	arrivez	arriver	VER				5.0	129421.0	59149.5	
60323	changez	changer	VER				5.0	129421.0	59149.5	
60337	dormez	dormir	VER				5.0	129421.0	59149.5	
60341	méfiez	méfier	VER				5.0	129421.0	59149.5	
60544	descend	descendre	VER				5.0	129421.0	59149.5	
60566	devez	devoir	VER				5.0	129421.0	59149.5	
60574	devrait	devoir	VER				5.0	129421.0	59149.5	
60637	cherchent	chercher	VER				5.0	129421.0	59149.5	
60656	zombifier	zombifier	VER				5.0	129421.0	59149.5	
60703	sirote	siroter	VER				5.0	129421.0	59149.5	
60773	nieraient	nier	VER				5.0	129421.0	59149.5	
60785	envole	envoler	VER				5.0	129421.0	59149.5	
60802	essayons	essayer	VER				5.0	129421.0	59149.5	
60838	trotter	trotter	VER				5.0	129421.0	59149.5	
60856	surveille	surveiller	VER				5.0	129421.0	59149.5	
60858	rasa	raser	VER				5.0	129421.0	59149.5	
60859	envoies	envoyer	VER				5.0	129421.0	59149.5	
60929	nomme	nommer	VER				5.0	129421.0	59149.5	
60947	accouche	accoucher	VER				5.0	129421.0	59149.5	
61085	fie	fier	VER				5.0	129421.0	59149.5	
61109	signez	signer	VER				4.0	137986.5	63674.5	
61164	vais	aller	VER				4.0	137986.5	63674.5	
61213	laissons	laisser	VER				4.0	137986.5	63674.5	
61231	ôte	ôter	VER				4.0	137986.5	63674.5	
61246	ôta	ôter	VER				4.0	137986.5	63674.5	
61285	flotterons	flotter	VER		m	p	4.0	137986.5	63674.5	
61321	évite	éviter	VER				4.0	137986.5	63674.5	
61428	ferait	faire	VER				4.0	137986.5	63674.5	
61547	fourrez	fourrer	VER				4.0	137986.5	63674.5	
61584	sèment	semer	VER				4.0	137986.5	63674.5	
61598	boudine	boudiner	VER		f	s	4.0	137986.5	63674.5	
61613	lavez	laver	VER				4.0	137986.5	63674.5	
61626	secoue	secouer	VER				4.0	137986.5	63674.5	
61706	dégagez	dégager	VER				4.0	137986.5	63674.5	
61709	dégages	dégager	VER				4.0	137986.5	63674.5	
61731	fis	faire	VER				4.0	137986.5	63674.5	
61820	existe	exister	VER				4.0	137986.5	63674.5	
62052	retirez	retirer	VER				4.0	137986.5	63674.5	
62069	mita	miter	VER				4.0	137986.5	63674.5	
62151	kifferait	kiffer	VER				4.0	137986.5	63674.5	
62152	kiffera	kiffer	VER				4.0	137986.5	63674.5	
62153	kifferai	kiffer	VER				4.0	137986.5	63674.5	
62154	kifferaient	kiffer	VER				4.0	137986.5	63674.5	
62180	bomber	bomber	VER				4.0	137986.5	63674.5	
62266	expire	expirer	VER				4.0	137986.5	63674.5	
62268	camera	camer	VER				4.0	137986.5	63674.5	
62343	fumes	fumer	VER				4.0	137986.5	63674.5	
62378	rivera	river	VER				4.0	137986.5	63674.5	
62412	dirige	diriger	VER				4.0	137986.5	63674.5	
62430	gondolé	gondoler	VER		m	s	4.0	137986.5	63674.5	
62456	accouchant	accoucher	VER		m	s	4.0	137986.5	63674.5	
62604	épousez	épouser	VER				4.0	137986.5	63674.5	
62651	china	chiner	VER				4.0	137986.5	63674.5	
62666	doublant	doubler	VER		m	s	4.0	137986.5	63674.5	
62686	injecte	injecter	VER				4.0	137986.5	63674.5	
62705	déversant	déverser	VER		m	s	4.0	137986.5	63674.5	
62711	renvoie	renvoyer	VER				4.0	137986.5	63674.5	
62726	casais	caser	VER				4.0	137986.5	63674.5	
62790	meurent	mourir	VER				4.0	137986.5	63674.5	
62881	redécouvrons	redécouvrir	VER				4.0	137986.5	63674.5	
62925	essayes	essayer	VER				4.0	137986.5	63674.5	
62946	avancez	avancer	VER				4.0	137986.5	63674.5	
63042	saluons	saluer	VER				4.0	137986.5	63674.5	
63069	dépucèle	dépuceler	VER				4.0	137986.5	63674.5	
63121	réveillez	réveiller	VER				4.0	137986.5	63674.5	
63123	jouez	jouer	VER				4.0	137986.5	63674.5	
63177	réveilles	réveiller	VER				4.0	137986.5	63674.5	
63284	déracinant	déraciner	VER		m	s	4.0	137986.5	63674.5	
63286	saigne	saigner	VER				4.0	137986.5	63674.5	
63302	bougeant	bouger	VER		m	s	4.0	137986.5	63674.5	
63309	voit	voir	VER				4.0	137986.5	63674.5	
63330	sombra	sombrer	VER				4.0	137986.5	63674.5	
63340	sacrifiant	sacrifier	VER		m	s	4.0	137986.5	63674.5	
63362	trouves	trouver	VER				4.0	137986.5	63674.5	
63492	mâchonne	mâchonner	VER				4.0	137986.5	63674.5	
63542	gigote	gigoter	VER				4.0	137986.5	63674.5	
63675	frappez	frapper	VER				4.0	137986.5	63674.5	
63733	pensent	penser	VER				4.0	137986.5	63674.5	
63811	rassemble	rassembler	VER				4.0	137986.5	63674.5	
64001	tordons	tordre	VER		m	p	4.0	137986.5	63674.5	
64007	papote	papoter	VER				4.0	137986.5	63674.5	
64038	travaillent	travailler	VER				4.0	137986.5	63674.5	
64074	parlent	parler	VER				4.0	137986.5	63674.5	
64075	raccroche	raccrocher	VER				4.0	137986.5	63674.5	
64294	continuez	continuer	VER				4.0	137986.5	63674.5	
64297	descends	descendre	VER				4.0	137986.5	63674.5	
64343	ignorez	ignorer	VER				4.0	137986.5	63674.5	
64359	endors	endormir	VER				4.0	137986.5	63674.5	
64373	comptez	compter	VER				4.0	137986.5	63674.5	
64455	portait	porter	VER				4.0	137986.5	63674.5	
64532	émergeant	émerger	VER		m	s	4.0	137986.5	63674.5	
64558	infiltrant	infiltrer	VER		m	s	4.0	137986.5	63674.5	
64611	rappelles	rappeler	VER				4.0	137986.5	63674.5	
64612	put	pouvoir	VER				4.0	137986.5	63674.5	
64616	tournons	tourner	VER				4.0	137986.5	63674.5	
64623	obéis	obéir	VER				4.0	137986.5	63674.5	
64634	coûte	coûter	VER				4.0	137986.5	63674.5	
64658	pendit	pendre	VER				4.0	137986.5	63674.5	
64777	craner	craner	VER				4.0	137986.5	63674.5	
64787	ponds	pondre	VER				4.0	137986.5	63674.5	
64843	tabasse	tabasser	VER				4.0	137986.5	63674.5	
64911	conduisez	conduire	VER				4.0	137986.5	63674.5	
65071	exprime	exprimer	VER				4.0	137986.5	63674.5	
65137	énamourée	énamourer	VER		f	s	4.0	137986.5	63674.5	
65193	énamouré	énamourer	VER		m	s	4.0	137986.5	63674.5	
65196	symbolisant	symboliser	VER		m	s	4.0	137986.5	63674.5	
65225	posez	poser	VER				4.0	137986.5	63674.5	
65237	menons	mener	VER		m	p	4.0	137986.5	63674.5	
65252	écrase	écraser	VER				4.0	137986.5	63674.5	
65321	réchauffe	réchauffer	VER				4.0	137986.5	63674.5	
65328	voyager	voyager	VER				4.0	137986.5	63674.5	
65368	soutenez	soutenir	VER				4.0	137986.5	63674.5	
65402	vaincra	vaincre	VER				4.0	137986.5	63674.5	
65472	vaut	valoir	VER				4.0	137986.5	63674.5	
65500	use	user	VER				4.0	137986.5	63674.5	
65532	aident	aider	VER				4.0	137986.5	63674.5	
65577	marions	marier	VER				4.0	137986.5	63674.5	
65599	vallonnées	vallonner	VER		f	p	4.0	137986.5	63674.5	
65665	poins	poindre	VER				4.0	137986.5	63674.5	
65706	raina	rainer	VER				4.0	137986.5	63674.5	
65851	quarre	quarrer	VER		f	s	4.0	137986.5	63674.5	
65890	administrant	administrer	VER		m	s	4.0	137986.5	63674.5	
65910	enfile	enfiler	VER				4.0	137986.5	63674.5	
65965	dessine	dessiner	VER				4.0	137986.5	63674.5	
65974	permets	permettre	VER				4.0	137986.5	63674.5	
65983	oubliez	oublier	VER				4.0	137986.5	63674.5	
66022	arrivent	arriver	VER				4.0	137986.5	63674.5	
66058	arque	arquer	VER				4.0	137986.5	63674.5	
66067	admets	admettre	VER				4.0	137986.5	63674.5	
66112	toussant	tousser	VER				4.0	137986.5	63674.5	
66118	passons	passer	VER				4.0	137986.5	63674.5	
66125	propose	proposer	VER				4.0	137986.5	63674.5	
66127	occultant	occulter	VER		m	s	4.0	137986.5	63674.5	
66215	devrais	devoir	VER				4.0	137986.5	63674.5	
66270	joignez	joindre	VER				3.0	149592.5	69924.0	
66278	maillant	mailler	VER		m	s	3.0	149592.5	69924.0	
66296	jettes	jeter	VER				3.0	149592.5	69924.0	
66384	venait	venir	VER				3.0	149592.5	69924.0	
66386	vîntes	venir	VER				3.0	149592.5	69924.0	
66415	aimait	aimer	VER				3.0	149592.5	69924.0	
66512	décide	décider	VER				3.0	149592.5	69924.0	
66594	oit	ouïr	VER				3.0	149592.5	69924.0	
66624	unissent	unir	VER				3.0	149592.5	69924.0	
66737	crisse	crisser	VER				3.0	149592.5	69924.0	
66750	tousse	tousser	VER				3.0	149592.5	69924.0	
66773	amortissant	amortir	VER		m	s	3.0	149592.5	69924.0	
66838	diminue	diminuer	VER				3.0	149592.5	69924.0	
66845	effondre	effondrer	VER				3.0	149592.5	69924.0	
66848	détoxifie	détoxifier	VER				3.0	149592.5	69924.0	
66974	marinez	mariner	VER				3.0	149592.5	69924.0	
66975	partagez	partager	VER				3.0	149592.5	69924.0	
67007	magnez	magner	VER				3.0	149592.5	69924.0	
67023	viendra	venir	VER				3.0	149592.5	69924.0	
67041	pelant	peler	VER				3.0	149592.5	69924.0	
67095	marmonnant	marmonner	VER				3.0	149592.5	69924.0	
67108	décroches	décrocher	VER				3.0	149592.5	69924.0	
67112	parlait	parler	VER				3.0	149592.5	69924.0	
67148	advenues	advenir	VER		f	p	3.0	149592.5	69924.0	
67158	crucifie	crucifier	VER				3.0	149592.5	69924.0	
67164	partez	partir	VER				3.0	149592.5	69924.0	
67249	rentres	rentrer	VER				3.0	149592.5	69924.0	
67273	prosternez	prosterner	VER				3.0	149592.5	69924.0	
67328	exige	exiger	VER				3.0	149592.5	69924.0	
67378	profiles	profiler	VER				3.0	149592.5	69924.0	
67390	réglez	régler	VER				3.0	149592.5	69924.0	
67513	stimule	stimuler	VER				3.0	149592.5	69924.0	
67522	rader	rader	VER				3.0	149592.5	69924.0	
67590	chantes	chanter	VER				3.0	149592.5	69924.0	
67668	approuve	approuver	VER				3.0	149592.5	69924.0	
67682	découvre	découvrir	VER				3.0	149592.5	69924.0	
67723	cuise	cuire	VER				3.0	149592.5	69924.0	
67785	désire	désirer	VER				3.0	149592.5	69924.0	
67889	déshabille	déshabiller	VER				3.0	149592.5	69924.0	
67895	énamourés	énamourer	VER		m	p	3.0	149592.5	69924.0	
67984	useraient	user	VER				3.0	149592.5	69924.0	
68073	déconne	déconner	VER				3.0	149592.5	69924.0	
68095	copulant	copuler	VER				3.0	149592.5	69924.0	
68101	lutine	lutiner	VER		f	s	3.0	149592.5	69924.0	
68133	tomba	tomber	VER				3.0	149592.5	69924.0	
68134	picote	picoter	VER		f	s	3.0	149592.5	69924.0	
68274	luis	luire	VER				3.0	149592.5	69924.0	
68279	arrangez	arranger	VER				3.0	149592.5	69924.0	
68283	libère	libérer	VER				3.0	149592.5	69924.0	
68428	mords	mordre	VER				3.0	149592.5	69924.0	
68465	illumine	illuminer	VER				3.0	149592.5	69924.0	
68467	piller	piller	VER				3.0	149592.5	69924.0	
68538	love	lover	VER				3.0	149592.5	69924.0	
68573	démerdes	démerder	VER		f	p	3.0	149592.5	69924.0	
68618	endosses	endosser	VER		f	p	3.0	149592.5	69924.0	
68720	lancez	lancer	VER				3.0	149592.5	69924.0	
68738	immobilisant	immobiliser	VER		m	s	3.0	149592.5	69924.0	
68754	copiez	copier	VER				3.0	149592.5	69924.0	
68770	perd	perdre	VER				3.0	149592.5	69924.0	
68788	déplacez	déplacer	VER				3.0	149592.5	69924.0	
68843	imaginez	imaginer	VER				3.0	149592.5	69924.0	
68847	visser	visser	VER				3.0	149592.5	69924.0	
68913	délie	délier	VER				3.0	149592.5	69924.0	
69012	zoné	zoner	VER		m	s	3.0	149592.5	69924.0	
69027	inscrivez	inscrire	VER				3.0	149592.5	69924.0	
69053	dévore	dévorer	VER				3.0	149592.5	69924.0	
69057	dissolve	dissoudre	VER				3.0	149592.5	69924.0	
69135	installez	installer	VER				3.0	149592.5	69924.0	
69164	insistent	insister	VER				3.0	149592.5	69924.0	
69223	trouvons	trouver	VER				3.0	149592.5	69924.0	
69248	donna	donner	VER				3.0	149592.5	69924.0	
69316	méfie	méfier	VER				3.0	149592.5	69924.0	
69317	dors	dormir	VER				3.0	149592.5	69924.0	
69433	drape	draper	VER				3.0	149592.5	69924.0	
69485	dansent	danser	VER				3.0	149592.5	69924.0	
69508	devines	deviner	VER				3.0	149592.5	69924.0	
69551	dansez	danser	VER				3.0	149592.5	69924.0	
69664	devienne	devenir	VER				3.0	149592.5	69924.0	
69724	mordillent	mordiller	VER				3.0	149592.5	69924.0	
69780	transposons	transposon	VER	imp:pre:1p;ind:pre:1p;	m	p	3.0	149592.5	69924.0	
69805	téléphonez	téléphoner	VER				3.0	149592.5	69924.0	
69809	débarquent	débarquer	VER				3.0	149592.5	69924.0	
69843	débrouillez	débrouiller	VER				3.0	149592.5	69924.0	
69893	débarque	débarquer	VER				3.0	149592.5	69924.0	
69915	montrons	montrer	VER				3.0	149592.5	69924.0	
70021	blesse	blesser	VER				3.0	149592.5	69924.0	
70057	simule	simuler	VER				3.0	149592.5	69924.0	
70083	ôteraient	ôter	VER				3.0	149592.5	69924.0	
70105	casa	caser	VER				3.0	149592.5	69924.0	
70155	hoquette	hoqueter	VER				3.0	149592.5	69924.0	
70202	sonnent	sonner	VER				3.0	149592.5	69924.0	
70205	rêvez	rêver	VER				3.0	149592.5	69924.0	
70207	rampons	ramper	VER		m	p	3.0	149592.5	69924.0	
70272	sers	servir	VER				3.0	149592.5	69924.0	
70294	choque	choquer	VER				3.0	149592.5	69924.0	
70326	reprends	reprendre	VER				3.0	149592.5	69924.0	
70365	sentez	sentir	VER				3.0	149592.5	69924.0	
70399	bordais	border	VER				3.0	149592.5	69924.0	
70433	reconsidère	reconsidérer	VER				3.0	149592.5	69924.0	
70496	chuchote	chuchoter	VER				3.0	149592.5	69924.0	
70541	blotties	blottir	VER		f	p	3.0	149592.5	69924.0	
70558	savais	savoir	VER				3.0	149592.5	69924.0	
70654	convenant	convenir	VER		m	s	3.0	149592.5	69924.0	
70777	savoure	savourer	VER				3.0	149592.5	69924.0	
70960	sapa	saper	VER				3.0	149592.5	69924.0	
70973	envolez	envoler	VER				3.0	149592.5	69924.0	
71040	bougez	bouger	VER				3.0	149592.5	69924.0	
71048	coder	coder	VER				3.0	149592.5	69924.0	
71112	bourlingues	bourlinguer	VER		f	p	3.0	149592.5	69924.0	
71131	espérons	espérer	VER				3.0	149592.5	69924.0	
71173	portez	porter	VER				3.0	149592.5	69924.0	
71291	recrute	recruter	VER				3.0	149592.5	69924.0	
71313	pouvait	pouvoir	VER				3.0	149592.5	69924.0	
71399	cassez	casser	VER				3.0	149592.5	69924.0	
71487	farfouille	farfouiller	VER				3.0	149592.5	69924.0	
71511	possède	posséder	VER				3.0	149592.5	69924.0	
71544	avancent	avancer	VER				3.0	149592.5	69924.0	
71591	sortent	sortir	VER				3.0	149592.5	69924.0	
71613	redis	redire	VER				3.0	149592.5	69924.0	
71663	fallait	falloir	VER				3.0	149592.5	69924.0	
71716	pourrit	pourrir	VER				3.0	149592.5	69924.0	
71761	explose	exploser	VER				3.0	149592.5	69924.0	
71811	examiner	examiner	VER				3.0	149592.5	69924.0	
71846	grouille	grouiller	VER				3.0	149592.5	69924.0	
71938	réjouissez	réjouir	VER				3.0	149592.5	69924.0	
71943	conduisant	conduire	VER				3.0	149592.5	69924.0	
71988	commandent	commander	VER				3.0	149592.5	69924.0	
72016	sucerais	sucer	VER				3.0	149592.5	69924.0	
72020	préparons	préparer	VER				3.0	149592.5	69924.0	
72034	clavarder	clavarder	VER				3.0	149592.5	69924.0	
72114	remplace	remplacer	VER				3.0	149592.5	69924.0	
72240	résonne	résonner	VER				3.0	149592.5	69924.0	
72296	faibli	faiblir	VER		m	s	3.0	149592.5	69924.0	
72315	ferez	faire	VER				3.0	149592.5	69924.0	
72366	babille	babiller	VER				3.0	149592.5	69924.0	
72388	hisse	hisser	VER				3.0	149592.5	69924.0	
72396	caquette	caqueter	VER		f	s	3.0	149592.5	69924.0	
72411	chassez	chasser	VER				3.0	149592.5	69924.0	
72441	restent	rester	VER				3.0	149592.5	69924.0	
72449	foutez	foutre	VER				3.0	149592.5	69924.0	
72575	brillent	briller	VER				3.0	149592.5	69924.0	
72584	caracolant	caracoler	VER		m	s	3.0	149592.5	69924.0	
72591	faibli	faiblir	VER				3.0	149592.5	69924.0	
72676	faisaient	faire	VER				3.0	149592.5	69924.0	
72692	rueraient	ruer	VER				3.0	149592.5	69924.0	
72713	préférez	préférer	VER				3.0	149592.5	69924.0	
72733	extasie	extasier	VER				3.0	149592.5	69924.0	
72769	précipitant	précipiter	VER		m	s	3.0	149592.5	69924.0	
72822	renter	renter	VER				3.0	149592.5	69924.0	
72872	éteignez	éteindre	VER				3.0	149592.5	69924.0	
73080	schtroumpfes	schtroumpfer	VER				3.0	149592.5	69924.0	
73102	sciant	scier	VER		m	s	3.0	149592.5	69924.0	
73120	recommence	recommencer	VER				3.0	149592.5	69924.0	
73169	préviens	prévenir	VER				3.0	149592.5	69924.0	
73222	rendent	rendre	VER				3.0	149592.5	69924.0	
73320	rient	rire	VER				3.0	149592.5	69924.0	
73449	protégez	protéger	VER				3.0	149592.5	69924.0	
73478	réagissant	réagir	VER		m	s	3.0	149592.5	69924.0	
73508	puent	puer	VER				3.0	149592.5	69924.0	
73516	exauce	exaucer	VER				3.0	149592.5	69924.0	
73553	réalise	réaliser	VER				3.0	149592.5	69924.0	
73554	réalisent	réaliser	VER				3.0	149592.5	69924.0	
73624	demandent	demander	VER				2.0	167125.0	79453.0	
73639	collectionne	collectionner	VER				2.0	167125.0	79453.0	
73663	incline	incliner	VER				2.0	167125.0	79453.0	
73683	demandons	demander	VER				2.0	167125.0	79453.0	
73713	embrassez	embrasser	VER				2.0	167125.0	79453.0	
73717	transpose	transposer	VER				2.0	167125.0	79453.0	
73726	organise	organiser	VER				2.0	167125.0	79453.0	
73738	séduis	séduire	VER				2.0	167125.0	79453.0	
73770	échangent	échanger	VER				2.0	167125.0	79453.0	
73809	entend	entendre	VER				2.0	167125.0	79453.0	
73811	entendez	entendre	VER				2.0	167125.0	79453.0	
73827	célébrez	célébrer	VER				2.0	167125.0	79453.0	
73866	attendant	attendre	VER				2.0	167125.0	79453.0	
73875	enterre	enterrer	VER				2.0	167125.0	79453.0	
73878	pua	puer	VER				2.0	167125.0	79453.0	
73904	pagent	pager	VER				2.0	167125.0	79453.0	
73920	pana	paner	VER				2.0	167125.0	79453.0	
73925	attaquez	attaquer	VER				2.0	167125.0	79453.0	
73945	attendent	attendre	VER				2.0	167125.0	79453.0	
73976	accélère	accélérer	VER				2.0	167125.0	79453.0	
73982	appartient	appartenir	VER				2.0	167125.0	79453.0	
74016	pètes	péter	VER				2.0	167125.0	79453.0	
74042	dansons	danser	VER				2.0	167125.0	79453.0	
74054	advenue	advenir	VER		f	s	2.0	167125.0	79453.0	
74116	cryogénisant	cryogéniser	VER				2.0	167125.0	79453.0	
74134	cryogénise	cryogéniser	VER				2.0	167125.0	79453.0	
74136	participons	participer	VER				2.0	167125.0	79453.0	
74141	cliquez	cliquer	VER				2.0	167125.0	79453.0	
74209	quarre	quarrer	VER				2.0	167125.0	79453.0	
74240	appellent	appeler	VER				2.0	167125.0	79453.0	
74244	entraîne	entraîner	VER				2.0	167125.0	79453.0	
74279	incruste	incruster	VER				2.0	167125.0	79453.0	
74281	osent	oser	VER				2.0	167125.0	79453.0	
74282	osez	oser	VER				2.0	167125.0	79453.0	
74341	terrifie	terrifier	VER				2.0	167125.0	79453.0	
74347	engage	engager	VER				2.0	167125.0	79453.0	
74353	consulta	consulter	VER				2.0	167125.0	79453.0	
74416	contacte	contacter	VER				2.0	167125.0	79453.0	
74431	contamine	contaminer	VER				2.0	167125.0	79453.0	
74468	construisez	construire	VER				2.0	167125.0	79453.0	
74469	termine	terminer	VER				2.0	167125.0	79453.0	
74471	hua	huer	VER				2.0	167125.0	79453.0	
74480	terminez	terminer	VER				2.0	167125.0	79453.0	
74500	engagez	engager	VER				2.0	167125.0	79453.0	
74526	converge	converger	VER				2.0	167125.0	79453.0	
74537	articule	articuler	VER				2.0	167125.0	79453.0	
74579	tisse	tisser	VER				2.0	167125.0	79453.0	
74599	contient	contenir	VER				2.0	167125.0	79453.0	
74654	planta	planter	VER				2.0	167125.0	79453.0	
74687	adapte	adapter	VER				2.0	167125.0	79453.0	
74707	punissez	punir	VER				2.0	167125.0	79453.0	
74708	transformez	transformer	VER				2.0	167125.0	79453.0	
74720	gémissent	gémir	VER				2.0	167125.0	79453.0	
74783	codirigeant	codiriger	VER		m	s	2.0	167125.0	79453.0	
74899	hurle	hurler	VER				2.0	167125.0	79453.0	
74996	transforme	transformer	VER				2.0	167125.0	79453.0	
75029	terrorise	terroriser	VER				2.0	167125.0	79453.0	
75034	piaillant	piailler	VER		m	s	2.0	167125.0	79453.0	
75123	extasiant	extasier	VER		m	s	2.0	167125.0	79453.0	
75132	agrippe	agripper	VER				2.0	167125.0	79453.0	
75207	menons	mener	VER				2.0	167125.0	79453.0	
75270	paraît	paraître	VER				2.0	167125.0	79453.0	
75281	traduis	traduire	VER				2.0	167125.0	79453.0	
75302	compares	comparer	VER				2.0	167125.0	79453.0	
75324	élimine	éliminer	VER				2.0	167125.0	79453.0	
75365	soigne	soigner	VER				2.0	167125.0	79453.0	
75405	pardonnes	pardonner	VER				2.0	167125.0	79453.0	
75420	utilisez	utiliser	VER				2.0	167125.0	79453.0	
75502	freine	freiner	VER				2.0	167125.0	79453.0	
75511	réalisant	réaliser	VER		m	s	2.0	167125.0	79453.0	
75524	voyageant	voyager	VER				2.0	167125.0	79453.0	
75526	justifie	justifier	VER				2.0	167125.0	79453.0	
75552	fredonne	fredonner	VER				2.0	167125.0	79453.0	
